City,County,Street,HouseCount,Link,Price EUR,Price per m2,Rooms,Area m2,Floor,Total floors,Flat number,House number,Year,Building type,Heating,Installation type,Specials,Extra quarters,Extra equipment,Security,Upload date,Modify date,Memorized count,Views,Telephone,Coordinates
Vilnius, Bajorai,Bajorų kel.,11,https://www.aruodas.lt/butai-vilniuje-bajoruose-bajoru-kel-bajoru-lajos-tai-a-energines-klases-butu-1-2761541/,49400,1695,1,29.14,2,9,15,V1,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Virtuvė sujungta su kambariu,Balkonas Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,7/31/2019,8/23/2019,9,1663,37060089188,-
Vilnius, Viršuliškės,Viršuliškių g.,11,https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsuliskiu-g--isskirtines-isigyjimo-salygos-pirmiesiems-1-2737479/,52600,1773,1,29.66,1,11,13,38,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Virtuvė sujungta su kambariu,Terasa,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,6/11/2019,8/23/2019,14,10302,37060089188,54.707524 25.225379
Vilnius, Šnipiškės,Giedraičių g.,10,https://www.aruodas.lt/butai-vilniuje-snipiskese-giedraiciu-g-svajojate-gyventi-salia-darbo-ir-ryta-1-2760479/,114600,1850,3,61.94,1,4,S06,60A,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,7/30/2019,8/23/2019,2,227,37065991755,54.705628 25.279712
Kaunas, Dainava,Partizanų g.,10,https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-2766347/,46480,1367,1,34,2,5,-,34,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,9,886,37065001515,54.917171 23.95772
Kaunas, Dainava,Partizanų g.,10,https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-2766349/,58560,1362,2,43,3,5,-,34,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,Šildomos grindys Virtuvės komplektas,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,13,1003,37065001515,54.917171 23.95772
Kaunas, Žaliakalnis,Algirdo g.,9,https://www.aruodas.lt/butai-kaune-zaliakalnyje-algirdo-g-parduodamas-2-k-butas-prestiziniame-kauno-1-2770969/,71000,1548,2,45.86,2,4,8,16,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Atskiras įėjimas Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Sandėliukas Balkonas Vieta automobiliui Drabužinė,-,Šarvuotos durys Signalizacija Kodinė laiptinės spyna Videokameros Budintis sargas,8/20/2019,8/22/2019,9,1373,37061766211,54.913779 23.936073
Kaunas, Žemutiniai Kaniūkai,Įkalnės aklg.,9,https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg-parduodamas-naujas-5973-kv-m-butas-1-2722601/,69884,1170,3,59.73,1,4,4,3,2018,Mūrinis,Dujinis,Dalinė apdaila,Nauja kanalizacija Uždaras kiemas,Sandėliukas Balkonas Vieta automobiliui,Šildomos grindys Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna,6/1/2019,8/21/2019,4,2032,37068739883,-
Vilnius, Šnipiškės,Giedraičių g.,9,https://www.aruodas.lt/butai-vilniuje-snipiskese-giedraiciu-g-svajojate-gyventi-salia-darbo-ir-ryta-1-2760505/,69900,1900,1,36.79,4,4,S33,60A,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,7/30/2019,8/23/2019,3,1227,37065991755,54.705628 25.279712
Kaunas, Šilainiai,Skalvių g.,9,https://www.aruodas.lt/butai-kaune-silainiuose-skalviu-g-kauno-mieste-naujai-pastatytas-prabangus-1-2769723/,47250,1350,2,35,2,2,-,22,2019,Mūrinis,Dujinis,Dalinė apdaila,Atskiras įėjimas Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas,Sandėliukas Terasa Vieta automobiliui,Šildomos grindys,Šarvuotos durys Signalizacija,8/18/2019,8/24/2019,6,1262,37067425195,54.93062 23.883561
Kaunas, Dainava,Partizanų g.,9,https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-2766337/,72510,1250,3,58,3,8,-,34,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,Šildomos grindys Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,7,406,37065001515,54.917171 23.95772
Kaunas, Dainava,Partizanų g.,9,https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-2766343/,103240,1324,4,78,8,8,-,34,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Virtuvė sujungta su kambariu,Balkonas,Šildomos grindys Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,3,270,37065001515,54.917171 23.95772
Kaunas, Aleksotas,Leipalingio g.,9,https://www.aruodas.lt/butai-kaune-aleksote-leipalingio-g-protingai-suplanuotas-ir-patogus-butas-1-2764897/,68800,1151,3,59.78,1,3,-,-,2019,Mūrinis,Dujinis,Dalinė apdaila,-,-,-,-,8/6/2019,8/20/2019,10,2433,37062090555,-
Kaunas, Aleksotas,Leipalingio g.,9,https://www.aruodas.lt/butai-kaune-aleksote-leipalingio-g-kompaktiskas-ir-patogus-butas-antrame-aukste-1-2764917/,67600,1272,3,53.13,2,3,-,-,2019,Mūrinis,Dujinis,Dalinė apdaila,-,-,-,-,8/20/2019,8/20/2019,14,395,37062090555,-
Klaipėda, Šauliai,Ragainės g.,9,https://www.aruodas.lt/butai-klaipedoje-sauliuose-ragaines-g-a-klases-butai-su-saules-elektrine-ant-1-2448107/,68980,1210,3,57,2,4,-,-,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,2/2/2018,8/22/2019,68,48736,37063172236,55.732784 21.176993
Klaipėda, Šauliai,Ragainės g.,9,https://www.aruodas.lt/butai-klaipedoje-sauliuose-ragaines-g-a-klases-butai-statome-ir-parduodame-butai-1-2498995/,49990,1190,2,42,3,4,-,12,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,4/18/2018,8/22/2019,36,33688,37063172236,55.732784 21.176993
Kaunas, Šilainiai,Baltų pr.,9,https://www.aruodas.lt/butai-kaune-silainiuose-baltu-pr-pilnai-irengtas-tvarkingas-ir-jaukus-1-2766909/,62000,747,4,83,9,9,-,125,1989,Blokinis,Centrinis,Įrengtas,Aukštos lubos Tualetas ir vonia atskirai Uždaras kiemas Internetas Kabelinė televizija,Sandėliukas Balkonas Rūsys Vieta automobiliui Drabužinė,Skalbimo mašina Su baldais Šaldytuvas Virtuvės komplektas Viryklė Vonia,Šarvuotos durys Kodinė laiptinės spyna,8/20/2019,8/24/2019,8,802,37068796830,54.921625 23.873629
Kaunas, Šilainiai,Mikėnų aklg.,9,https://www.aruodas.lt/butai-kaune-silainiuose-mikenu-aklg-labai-gera-kaina-parduodamas-2-k-kaunas-1-2771389/,57000,1140,2,50,2,2,-,-,2019,Mūrinis,Dujinis,Įrengtas,-,-,-,-,8/21/2019,8/22/2019,7,894,37060500067,-
Klaipėda, Mažasis kaimelis,Panevėžio g.,8,https://www.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-panevezio-g-naujas-3-ju-kamb-butas-prie-danes-upes-1-2697345/,107000,1678,3,63.76,4,5,-,25D,2018,Blokinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas,Plastikiniai vamzdžiai,Šarvuotos durys Signalizacija Kodinė laiptinės spyna,3/27/2019,8/22/2019,10,6725,37069878092,55.735227 21.144263
Klaipėda, Mažasis kaimelis,Panevėžio g.,8,https://www.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-panevezio-g-butas-prie-danes-upes-2-ju-kamb-su-lauko-1-2685797/,90000,1665,2,54.04,1,5,-,-,2015,Blokinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Terasa,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna,3/5/2019,8/22/2019,1,3368,37069878092,55.735849 21.14402
Kaunas, Romainiai,Gynios g.,8,https://www.aruodas.lt/butai-kaune-romainiuose-gynios-g-parduodami-a-klases-naujos-statybos-2-k-ir-1-2772083/,59700,1171,2,51,2,2,2,12,2019,Mūrinis,Dujinis,Įrengtas,-,-,-,-,8/21/2019,8/21/2019,17,1121,37067546814,54.940991 23.820244
Kauno r. sav., Užliedžių k.,Smilgų g.,8,https://www.aruodas.lt/butai-kauno-rajone-uzliedziu-k-smilgu-g-akcija-perkant-buta-su-pilna-apdaila-mes-1-2772453/,38000,786,2,48.37,3,3,12,20,2019,Mūrinis,Dujinis,Dalinė apdaila,-,-,-,-,8/22/2019,8/22/2019,2,268,37065270490,54.963184 23.819093
Kauno r. sav., Ražiškių k.,Vasario 16-osios g.,8,https://www.aruodas.lt/butai-kauno-rajone-raziskiu-k-vasario-16-osios-g-parduodami-naujos-statybos-2-k-ir-3k-butai-1-2658593/,40400,842,2,48,1,2,-,62,2018,Mūrinis,Dujinis,Dalinė apdaila,-,-,-,-,8/21/2019,8/21/2019,13,2503,37067546814,54.827404 23.893958
Klaipėda, Mažasis kaimelis,Panevėžio g.,8,https://www.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-panevezio-g-naujas-2-ju-kamb-butas-prie-danes-upes-1-2705357/,89000,1654,2,53.8,2,5,-,25D,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna,4/9/2019,8/21/2019,4,4874,37069878092,55.735227 21.144263
Kaunas, Žaliakalnis,Vaižganto g.,8,https://www.aruodas.lt/butai-kaune-zaliakalnyje-vaizganto-g-galimybe-isirengti-net-tris-miegamuosius-1-2649301/,141990,1802,3,78.78,2,4,-,11,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,7/15/2019,8/14/2019,20,2157,37061955168,54.894752 23.934497
Vilnius, Markučiai,Manufaktūrų g.,7,https://www.aruodas.lt/butai-vilniuje-markuciuose-manufakturu-g-parduodamas-1-o-kambario-butas-su-jau-atlikta-1-2716613/,97000,2636,1,36.8,2,5,7,26,2018,Blokinis,Centrinis,Įrengtas,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,-,Šaldytuvas Šildomos grindys Virtuvės komplektas Viryklė Plastikiniai vamzdžiai Indaplovė Dušo kabina,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/12/2019,8/23/2019,11,2028,37068657157,54.677276 25.32038
Kaunas, Žaliakalnis,Radvilėnų pl.,7,https://www.aruodas.lt/butai-kaune-zaliakalnyje-radvilenu-pl-parduodamas-sviesaus-interjero-butas-1-2769219/,129000,2167,2,59.54,1,5,-,5,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,-,-,-,-,8/16/2019,8/22/2019,13,1644,37061833213,54.908355 23.94031
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2713171/,76000,2251,2,33.77,5,5,-,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/12/2019,8/21/2019,14,781,37062676029,54.704323 25.310023
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2713199/,78000,2198,2,35.49,5,5,-,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/12/2019,8/21/2019,9,394,37062676029,54.704323 25.310023
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2713205/,105900,2100,2,50.43,5,5,-,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/12/2019,8/21/2019,18,338,37062676029,54.704323 25.310023
Vilnius, Antakalnis,Pylimėlių g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-pylimeliu-g-pylimeliu-38-tik-12-butu-kuriuose-gyvena-1-2771527/,68300,1839,2,37.13,2,3,-,38,2019,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna,8/21/2019,8/21/2019,2,410,37062676029,54.719475 25.351223
Vilnius, Antakalnis,Pylimėlių g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-pylimeliu-g-pylimeliu-38-tik-12-butu-kuriuose-gyvena-1-2771529/,89000,1819,3,48.94,3,3,-,38,2019,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna,8/21/2019,8/21/2019,2,471,37062676029,54.719475 25.351223
Vilnius, Antakalnis,Pylimėlių g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-pylimeliu-g-pylimeliu-38-tik-12-butu-kuriuose-gyvena-1-2771535/,69800,1888,2,36.98,2,3,-,38,2019,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna,8/21/2019,8/21/2019,1,217,37062676029,54.719475 25.351223
Vilnius, Antakalnis,Pylimėlių g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-pylimeliu-g-pylimeliu-38-tik-12-butu-kuriuose-gyvena-1-2771541/,115200,1820,3,63.3,3,3,-,38,2019,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna,8/21/2019,8/21/2019,2,282,37062676029,54.719475 25.351223
Vilnius, Antakalnis,Vaidilutės g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-vaidilutes-g-valakampiu-krantas-atraskite-naujus-savo-1-2771173/,189000,2324,3,81.32,1,2,1,33,2019,Mūrinis,Geoterminis,Dalinė apdaila,Atskiras įėjimas Butas per kelis aukštus Uždaras kiemas,Terasa Vieta automobiliui,Židinys,-,8/20/2019,8/21/2019,2,426,37062569530,54.733592 25.295485
Vilnius, Naujamiestis,Naugarduko g.,7,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-naugarduko-g-naujas-a-klases-33-butu-daugiabutis-namas-1-2702237/,108000,2297,2,47.02,4,4,-,50B,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,27,253,37062676029,54.673229 25.266768
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2714061/,122900,2100,3,58.52,4,5,2,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija,-,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,20,180,37061833732,54.704323 25.310023
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2714071/,66800,2399,1,27.84,4,5,10,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija,-,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,13,129,37061833732,54.704323 25.310023
Klaipėda, Varpai,Varpų g.,7,https://www.aruodas.lt/butai-klaipedoje-varpuose-varpu-g-atviru-duru-dienos-rugpjucio-2223-d-1-2768829/,66900,1660,2,40.31,3,5,22,4B,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Virtuvė sujungta su kambariu,Balkonas,Vonia,Kodinė laiptinės spyna,8/14/2019,8/22/2019,1,1134,37061499096,55.666036 21.183899
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2713185/,63400,2400,1,26.42,5,5,-,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/12/2019,8/19/2019,15,267,37062676029,54.704323 25.310023
Kaunas, Žemutiniai Kaniūkai,Įkalnės aklg.,6,https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg-parduodamas-naujas-isskirtinai-erdvus-ir-1-2702281/,126269,1100,4,114.79,4,4,12,4,2018,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Butas per kelis aukštus Nauja kanalizacija Nauja elektros instaliacija,Sandėliukas Balkonas Terasa Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna,5/22/2019,8/20/2019,9,3762,37068739883,54.922482 23.813284
Kaunas, Žemutiniai Kaniūkai,Įkalnės aklg.,6,https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg-parduodamas-naujas-6046-kv-m-butas-1-2727437/,69960,1160,3,60.31,1,4,2,3,2018,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas,Sandėliukas Balkonas,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna,6/25/2019,8/20/2019,20,6094,37068739883,54.921442 23.813786
Kaunas, Šilainiai,Kalnų g.,6,https://www.aruodas.lt/butai-kaune-silainiuose-kalnu-g-akaciju-vilos-tai-bustas-vienoje-1-2669975/,122472,1425,3,85.96,1,4,1,56A,2017,Mūrinis,Dujinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna,3/12/2019,8/9/2019,11,3733,37068739883,54.912683 23.864441
Kaunas, Lampėdžiai,Antagynės g.,6,https://www.aruodas.lt/butai-kaune-lampedziuose-antagynes-g-nauji-butai-tiesiai-is-statytojo-1-2719963/,72000,1200,3,60,1,2,-,23,2019,Mūrinis,Kita,Dalinė apdaila,-,-,-,-,6/21/2019,8/20/2019,26,4042,37067661200,-
Kaunas, Šilainiai,9-ojo Forto g.,6,https://www.aruodas.lt/butai-kaune-silainiuose-9-ojo-forto-g-nauji-butai-tiesiai-is-statytojo-1-2721943/,72000,1200,3,60,1,2,-,33,2019,Mūrinis,Kita,Dalinė apdaila,-,-,-,-,6/21/2019,8/20/2019,23,5614,37067661200,54.932806 23.870062
Vilnius, Pilaitė,Tolminkiemio g.,6,https://www.aruodas.lt/butai-vilniuje-pilaiteje-tolminkiemio-g-pilnas-vonios-irengimas-jums-dovanu-1-2637389/,64000,1396,2,45.84,1,4,-,35,2018,Blokinis,Centrinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Terasa,Šildomos grindys Plastikiniai vamzdžiai Vonia,Šarvuotos durys Kodinė laiptinės spyna,8/12/2019,8/23/2019,89,1331,37068657157,-
Vilnius, Pilaitė,Tolminkiemio g.,6,https://www.aruodas.lt/butai-vilniuje-pilaiteje-tolminkiemio-g-pilnas-vonios-irengimas-jums-dovanu-1-2638025/,90000,1490,3,60.4,4,4,-,35,2019,Blokinis,Centrinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna,6/21/2019,8/23/2019,20,1731,37068657157,-
Vilnius, Užupis,Manufaktūrų g.,6,https://www.aruodas.lt/butai-vilniuje-uzupyje-manufakturu-g-parduodamas-2-ju-kambariu-butas-su-jau-1-2751615/,121500,2531,2,48,1,5,1,26,2018,Blokinis,Centrinis,Įrengtas,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas Terasa Drabužinė,Šaldytuvas Šildomos grindys Virtuvės komplektas Viryklė Plastikiniai vamzdžiai Indaplovė Vonia,Šarvuotos durys Kodinė laiptinės spyna Videokameros,7/10/2019,8/23/2019,8,1635,37068657157,54.677276 25.32038
Vilnius, Antakalnis,Antakalnio g.,6,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2714065/,79000,2098,2,37.65,4,5,5,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija,-,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,21,151,37061833732,54.704323 25.310023
